参数错误,여기에 텍스트를 바꾸십시오
"请下载aelf完成注册，即可加入钱包","공동관리 지갑 추가를 위해, 하이퍼페이를 다운로드하여 가입해주십시오"
份额比例分配不正确,할당액의 분배가 올바르지않습니다
已经是该钱包会员,이미 해당 지갑의 회원입니다.
"创建钱包失败，请稍后再试","지갑 개설의 실패하였습니다, 다시 시도해주십시오"
该钱包人数已满,해당 지갑의 수용 인원이 초과되었습니다.
"钱包正在创建中或已被删除,不可转账","지갑이 개설중 혹은 삭제되었습니다, 해당 지갑으로의 전송이 불가능합니다."
该邀请地址已经失效,초대 링크가 만료되었습니다.
"该份额分配成员已满,不可重复加入","입력하신 비중이 올바르지 않아 가입을 완료할 수 없습니다. 해당 계좌에 함께 가입하시는 다른 분과 쉐어 비중을 확인해주세요."

-------hpy------
该商户不支持转出操作,이 가맹점은 출금 서비스를 지원하지않습니다.
------ onchain-------
失败,실패	
成功,성공
处理中,처리중
参数错误,한도 오류
地址格式不正确,주소의 형식이 올바르지 않습니다.
请输入合法的币种名称进行搜索,정확한 화폐의 이름을 입력한 후 검색하세요.
"您有一笔交易已发送成功，金额：%s","거래를 성공적으로 전송하였습니다. 금액은 : %s 입니다."
"您有一笔收款到账，金额：%s","사용자의 계좌로 금액이 입금되었습니다. 금액은 %s 입니다."


--------open--------
"表单提交异常，请刷新页面后重新提交","제출하신 형식이 올바르지않습니다. 새로고침 하신 후, 다시 제출해주십시오."
Login code 无效,로그인 코드가 유효하지 않습니다.
Login code 已过期,로그인 코드가 만료되었습니다.
您未验证邮箱,이메일 인증이 안되었습니다.
"获取登录信息失败，请检查登录是否已过期","로그인 정보를 얻는데 실패하였습니다. 다시 한번 로그인을 확인해주세요."

登录,로그인
用户名,회원명
登录密码,비밀번호
授权%s使用, %s 계정 권한 
您的aelf账号：,하이퍼페이 계정:
%s将能够：,%s 가능합니다:
确认授权,확인
取消,취소
"通过授权%s网站使用，表示您同意并遵守%s的服务条款进行操作","%s의 권한으로 인하여,%s의 약관에 따라 진행할 것을 동의합니다.."
"获取您的基本信息，包括：昵称、头像和邮箱","닉네임, 프로필, 이메일을 포함한 사용자의 기본 정보를 획득합니다."

允许%s获取以上数据, %s 의 데이터를 획득을 승인합니다.
请勾选允许%s获取以上数据, %s 의 데이터 획득을 승인해주십시오.

%s不能为空,%s 비어둘 수 없습니다.
系统错误,시스템 오류
开发者不存在,개발자가 존재하지 않습니다.
%s错误或已过期,%s 오류 
用户不存在,사용자가 존재하지않습니다.
%s不存在,%s 존재하지않습니다.
%s不正确,%s 올바르지않습니다.
%s格式不正确,%s 형식이 올바르지 않습니다.
%s已过期,%s 만기되었습니다.
%s更新失败,%s 업데이트에 실패하였습니다.
%s长度不能超过255,%s 255자를 초과할 수 없습니다.
%s不允许,%s 허용되지않습니다.
扫码登录,스캔 후 로그인
登录,로그인
取消绑定失败,연동 해체 실패
取消绑定成功,연동 해제 성공
更新code状态失败,코드 업데이트
%s无效,%s 유효하지않습니다.
您的登录已过期,로그인이 만료되었습니다.
生成二维码失败,QR code 생성 실패
生成授权码失败,허가 코드 생성 실패
"生成openid失败，授权用户不存在","openid 생성에 실패했습니다, 권한자의 계정이 존재하지않습니다."
生成openid失败, openid 생성에 실패했습니다.
"生成access token失败，授权用户不存在","화폐 생성에 실패하였습니다. 권한자의 계정이 존재하지않습니다."
"生成access token失败","화폐를 생성하는데 실패하였습니다."

您的aelf账号,하이퍼페이 계정

加载中...,로딩...
"网络错误","네트워크의 연결이 불안정합니다"
"网络请求错误，请点击确定按钮刷新当前页面","네트워크의 연결이 불안정합니다. 다시 클릭하여 화면을 새로고침 해주십시오."

确定,확인

"待确认","보류중"
"划转成功","전송 완료"
"币增宝暂未开放该币种，敬请期待","Coming soon"
"暂未开启，敬请期待","Coming soon"
"已关闭，敬请期待","사용할 수 없습니다"
"您有一笔资金等待确认，金额%s","%s 금액이 회원님의 계좌로 전송되었습니다. 확인해주세요."
"您有一笔资金转出超时，金额%s","%s 금액 전송 시간을 초과하여 실패하였습니다."
"你的好友%s邀请你加入%s钱包","친구 %s 가 회원님을 $s 지갑으로 초대하였습니다."
"你参与的共管钱包%s创建超时","공유된 공동관리지갑: %s 개설 시간을 초과하였습니다. "
"你参与的共管钱包%s创建完成","공유된 공동관리지갑: %s 성공적으로 개설되었습니다."
"您有一笔资金转出失败，金额%s","%s 금액 이체에 실패하였습니다."
"您有一笔资金转出到账，金额%s","%s 금액이 성공적으로 이체되었습니다. "
"该转账不允许取消","회원간 동의된 송금은 취소될 수 없습니다."
"提醒成功","알림 전송"
"你不是该钱包成员，请切换账号重新登录","회원님은 해당 지갑의 구성원이 아닙니다. 다른 계정으로 로그인 해주십시오."

"只有发起人才可取消本次交易","발송인만 이 거래를 취소할 수 있습니다."
"您有待处理交易 请在交易完成后解绑","송금이 완료되지않았습니다, 거래소와 계정의 연동을 푼 후 다시 시도해주시기바랍니다."
"稳定币","안전 화폐"
"主链币","메인체인 화폐"
"基于%s主链的币"," %s 메인체인 기반"

"%s - %s共管模式","%s - %s 공동관리모드"
"%s发起了一笔%s转账请求，需在%s前确认，点击查看详情","%s 회원이 %s 금액을 회원님의 계좌로 전송하였습니다. %s 전에 확인하여주십시오."
"%s发起的%s转账请求已失败，原因：超时未确认，点击查看详情","%s 회원의 %s 금액 전송을 실패하였습니다. 이유: 유효기간 초과, 자세한 사항은 클릭하여주십시오."
"%s发起的%s转账请求已失败，原因：被拒绝，点击查看详情","%s 회원의 %s 금액 전송을 실패하였습니다. 이유: 전송 거절, 자세한 사항은 클릭하여주십시오."
"%s发起的%s转账请求已获得成员授权通过，点击查看详情","%s 회원의 %s 금액 전송이 기타 회원의 동의를 얻었습니다. 자세한 사항은 클릭하여주십시오."
"%s发起的%s转账请求已失败，点击查看详情","%s 회원의 %s 금액 전송을 실패하였습니다. 자세한 사항은 클릭하여주십시오."
"%s发起的%s转账已成功，点击查看详情","%s 회원의 %s 금액 전송을 성공하였습니다. 자세한 사항은 클릭하여주십시오."
"%s发起的%s转账请求已取消，点击查看详情","%s 회원의 %s 금액 전송이 취소되었습니다. 자세한 사항은 클릭하여주십시오."
"%s正在邀请你加入该钱包，需在%s前确认，点击查看详情","%s 께서 회원님을 공동관리지갑으로 초대하셨습니다. %s 전에 확인하여주십시오."
"共管钱包创建成功","공동관리지갑 생성에 성공하셨습니다."
"共管钱包创建失败，原因：超时未确认，点击查看详情","공동관리지갑 생성에 실패하셨습니다. 자세한 사항은 클릭하여주십시오.>>"
"%s 已经加入过该钱包","%s 께서는, 이미 공동관리지갑에 가입되셨습니다."
"你已经加入过该钱包","이미 공동관리지갑에 가입되셨습니다."
"一份份额只能分配一人","각 할당량은 각 한명씩 지정가능합니다."
"相同的币价预警仅能设置一条","동일 화폐 가격 알림은 한개만 설정할 수 있습니다."

"您的转入审核通过，金额%s","입금금액 %s 가 승인되지않아, 거래를 실패하였습니다."
"您的转入异常，审核未通过","입금금액 오류로, 승인되지않았습니다."
审核中,승인중

"单笔最低限额:%s","최소 교환 금액:%s"
"单笔最高限额:%s","최대 교환 금액:%s"
"每日最高限额:%s","일일 교환 한도:%s"
"每日最多兑换:%s次","일 %s 회 교환 가능합니다."
"兑换币种汇率变化，请重试","교환 환율이 변동되었습니다, 다시 시도해주시길 바랍니다."
"暂时无法兑换，请稍后重试","교환이 잠시 중단됩니다, 이후 다시 시도해주시길 바랍니다."
"暂时无法兑换该币种, 请稍后重试","교환이 잠시 중단됩니다, 이후 다시 시도해주시길 바랍니다."
"兑换币种不存在","교환 화폐가 존재하지 않습니다."
"兑换成功","거랫 성공"
"兑换失败","교환 실패"
"兑换中...","교환중"
"资金将稍后到账你的钱包","금액이 곧 사용자의 계좌로 입금될 예정입니다"
"您的兑换订单正在处理，请稍后查询进度","신청하신 교환요청이 처리중입니다. 잠시만 기다려주세요."
"%s 加入了该钱包，点击查看详情","%s 회원이 공동 관리 지갑에 가입하였습니다. 클릭 후 자세히 보기"

"%s同意了你的好友请求","%s 님이 회원님의 친구요청을 수락하였습니다."

"系统繁忙,请稍后重试","잠시후 다시 시도해주세요."
"%s交易所","%s 거래소"
"托管理财钱包","오프체인"
"自管钱包","온체인"
"划转至Coinw","CoinW 로 전송"
"您划转了%s%s至Coinw账户，已提交成功，请等待审核确认","회원님이 요청하신 CoinW 계좌로의 전송이 신청되었습니다. 금액은 %s%s 입니다. 승인을 기다려주세요. "
"您有一笔划转审核确认失败，金额%s%s，请联系客服处理","요청하신 CoinW 계좌로의 전송이 실패하였습니다. 자세한 정보를 위해 고객센터에 문의해주시길 바랍니다."
"市场汇率可能变动，请以实际到账的资产数量为准","시장 환율의 변동 가능성으로, 실제 입금된 자산 기준으로 계산됩니다."
"兑换汇率由第三方制定，由于兑换成本及市场波动，您兑换的汇率可能会高于市场汇率，请仔细确认后进行操作","환율은 변동 가능성이 있으므로, 시장 환율보다 다소 높을 수 있습니다. 자세히 확인하여주십시오."
"aelf对每笔兑换收取大约%s的手续费，这笔手续费已经包含在兑换汇率内","하이퍼페이는 매 거래시 %s 수수료를 부과하며, 수수료는 환율에 포함되어있습니다."

"您已（或将）达到该理财产品限额( %s )，剩余额度：%s ，无法购买，请核对","회원님은 이미 (또는) 해당 재테크 상품 한도액(%s) , 잔여한도: %s 로 구매 불가하오니, 확인해주시길 바랍니다. "
"该理财产品已达到限额( %s )，剩余额度：%s ，无法购买，请核对","이 재테크 상품은 이미 한도액(%s)에 도달했으며, 잔여한도액: %s, 구매 불가하오니, 확인해주세요."
"保险","상품"

"赎回中","상환중"
"已赎回","이미 "
"低于可购买最低限额:%s","최소 금액:%s"
"您已（或将）达到该理财产品最大份数( %s )，剩余份数：%s ，无法购买，请核对","회원님은 이미 (혹은 거의) 최대 수량(%s)에 도달하였습니다. 남은 수량: %s, 확인해주십시오. "
"优选理财项目","프리미엄 투자 계획"
"优选定投项目","자동 투자 계획ㅣ"
